Food Item,Type,Link,Energy,Protein,Carbohydrate,Fat,Health Meter,Indgredients
Alleppey Style Soya Vegetable Curry,veg,https://www.balancenutrition.in/recipes/recipe-details/alleppey-style-soya-vegetable-curry,Energy (kcal)- 183,Protein (g) - 19.6,Carbohydrate (g)- 25.4,Fat (g) - 0.8," The nutrients in vegetables are vital for health and maintenance of your body. Soya bean is one of the best non-fish sources of essential omega-3 fatty acids, that can help in reducing the risk of coronary heart disease. Soya nuggets provide a good amount of vitamins, minerals, fiber and protein for growing children. Soya contains a high amount of fiber, it helps in losing weight as well.","['Potatoes peeled - 20 g', 'Runner beans (chavli beans) -15 g', 'Carrot-1 medium', 'Tomato-1 medium', 'Curry leaves-5 to 7', 'Soya nuggets soaked- 30 g', 'Dried red chillies broken-2-3', 'Turmeric powder-1/4 tsp', 'Mustard seeds-1/2 tsp', 'Salt-to taste', 'Water- 2 tbsp']"
Avial,veg,https://www.balancenutrition.in/recipes/recipe-details/avial,Energy (kcal)- 190,Protein (g) - 4,Carbohydrate (g)- 26,Fat (g) - 6," Aviyal is a very delicious recipe. It is made up of mixed vegetables with many nutritional values. By adding vegetables not only it looks colorful but also, rich in nutrients and antioxidants which keep your body energetic. Vitamin A which is present in carrot assists the liver in flushing out the toxins from the body. It reduces the bile and fat in the liver. The fibers present in carrots help clean out the colon and hasten waste movement.","['White pumpkin, peeled -\xa0 20 g', 'Carrot, small - 1', 'Raw banana, small - 1', 'Drumstick, cut into ½ inch pieces - 5', 'Yam, peeled -\xa0 20 g', 'Broad beans stringed - 4', 'Salt- to taste\xa0', 'Cumin seeds  ½ tsp', 'Green chillies - 2 nos.', 'Rice -\xa0 2 tsp', 'Yogurt\xa0 - 1/2 cup', 'Oil -\xa0 ½ tsp', 'Curry leaves\xa0 - 4 to 5']"
Bajra Idli,veg,https://www.balancenutrition.in/recipes/recipe-details/bajra-idli,Energy (kcal)- 149,Protein (g) - 6.9,Carbohydrate (g)- 26,Fat (g) - 2.9," Bajra idli is a healthy and nutritious recipe as it is steam cooked. Bajra is rich in folate, potassium, magnesium, copper, zinc and vitamin E and B - complex. It is rich in calcium and iron too. Bajra helps maintain cardiovascular health and helps reduce acidity problems. This can be served along with mint or coriander chutney.
","['Bajra- 1 tbsp', 'Rice- 1/2 tbsp', 'Skinless black gram (dhuli urad dal)- 1 tbsp', 'Fenugreek seeds (methi dana)- 1/2 tsp', 'Mustard seeds- 1/4 tsp', 'Ginger chopped- 1/4 tsp', 'Green chilies- 1 - 2 no., chopped', 'Curry leaves- 1 tsp', 'Rice bran oil- 1/2 tsp', 'Salt- as per taste']"
Barley Idli,veg,https://www.balancenutrition.in/recipes/recipe-details/barley-idli,Energy (kcal)- 130,Protein (g) - 4.5,Carbohydrate (g)- 30,Fat (g) - 0.9," Barley idli is a very healthy twist to our normal idlis. Idli is a cereal-pulse combination, which gives us a complete protein (good quality protein). Barley is a very healthy carbohydrate which contains soluble fiber as well as b-glucan which helps drop weight, controls blood sugar levels and also lowers blood cholesterol.
","['Rice - 1 tbsp', 'Barley (jau)- 1 tbsp', 'Urad dal (split black lentils) - 1/2 tbsp', 'Mixed vegetables (carrots, french beans, peas etc.) - 1/4th cup, finely chopped ', 'Fenugreek (methi) seeds - ']"
Barnyard Idli,veg,https://www.balancenutrition.in/recipes/recipe-details/barnyard-idli,Energy (kcal)- 118,Protein (g) - 4.1,Carbohydrate (g)- 23,Fat (g) - 0.6, Barnyard millet is high in fiber and a good source of zinc and manganese. It is good for diabetes and helps in weight loss. It is also alkaline and digests easily which is makes it a healthy breakfast.,"['Barnyard millet- 1 tbsp\xa0', 'Sabudana- 1 tsp\xa0', 'Urad dal (Split)- 1/2 tbsp\xa0', 'Flattened rice (Poha)- 1/2 tbsp\xa0', 'Fenugreek seeds (Methi)- 1 tsp', 'Salt to taste']"
Barnyard Millet Dosa,veg,https://www.balancenutrition.in/recipes/recipe-details/barnyard-millet-dosa,Energy (kcal)- 136,Protein (g) - 4.1,Carbohydrate (g)- 23,Fat (g) - 0.6, Barnyard millet is high in fiber and a good source of zinc and manganese. It is good for diabetes and helps in weight loss. It is also alkaline and digests easily which makes it a healthy breakfast.,"['Barnyard millet- 1 tbsp', 'Urad dal (Split)- 1/2 tbsp', 'Flattened rice (Poha)- 1/2 tsp', 'Fenugreek seeds (Methi)- 1 tsp.', 'Oil- 1/2 Tsp']"
Barnyard Millet Pongal,veg,https://www.balancenutrition.in/recipes/recipe-details/barnyard-millet-pongal,Energy (kcal)- 136,Protein (g) - 4.7,Carbohydrate (g)- 21,Fat (g) - 3.1, Barnyard millet is high in fiber and a good source of zinc and manganese. Barnyard millet is good for diabetes and helps in weight loss. Ingredients,"['Barnyard millet- 20 g', 'Moong dal- 1 tbsp', 'Cumin seeds- 1/2 tsp', 'Black peppercorns-\xa0 1/2 Tsp', 'Salt as per taste\xa0', 'Ginger finely grated- 1/4 Tsp', 'Curry leaves- 4', 'oil\xa0 - 1/2 Tsp\xa0']"
Barnyard Millet Roti,veg,https://www.balancenutrition.in/recipes/recipe-details/barnyard-millet-roti,Energy (kcal)- 196,Protein (g) - 6.5,Carbohydrate (g)- 29.5,Fat (g) - 5.8," Banyard Millet nutritionally too, it is a good source of protein, which is highly digestible and is an excellent source of dietary fibre with a good amount of soluble and insoluble fractions. The carbohydrate content of barnyard millet is low and slowly digestible, which makes the barnyard millet nature's gift for modern mankind who is engaged in sedentary activities. Hence it can be potentially recommended for patients with cardiovascular disease and diabetes mellitus. Barnyard millet is most effective in reducing blood glucose and lipid levels. ","['Barnyard millet flour - 30 g\xa0\xa0', 'Wheat flour - 15 g', 'Salt -as per taste', 'Oil -1 tsp\xa0', 'Water - as required\xa0']"
Bisi Bele Bath,veg,https://www.balancenutrition.in/recipes/recipe-details/bisi-bele-bath,Energy (kcal)- 165,Protein (g) - 4,Carbohydrate (g)- 25,Fat (g) - 3," Bisi bele bath is a special recipe which is famous in south Indians. It is tasty and delicious. Being prepared with brown rice which is a great source of fiber and complex carbs to fuel the body with glucose. It's also an excellent source of magnesium, which works with calcium to build bones and teeth and to help the muscles contract. The presence of herbs and spices in this recipe adds more flavor & makes it antioxidant-rich dish.","['Brown rice raw - 20 g', 'Split toor dal - 1 tbsp', 'Oil - ½ tsp', 'Onion finely chopped - 2 tbsp', 'Curry leaves - 5', 'Green chillies - 1', 'Small onions, peeled - 3', 'Turmeric powder-\xa0 ¼\xa0 tsp', 'Asafetida - a pinch', 'Red chilli powder-\xa0 \xa0¼\xa0 tsp', 'Tomatoes finely chopped - 1 tbsp', 'Shelled green peas -\xa0 1 tbsp', 'Sambhar powder -1 tsp', 'Tamarind pulp - 2 tsp', 'Salt as per taste', 'Mustard seeds - ¼ tsp', 'Dried red chillies, broken - 1', 'Split Bengal gram (chana dal) - 1 tsp', 'Split black gram skinless (dhuli urad dal) -1 tsp', 'Green cardamoms - 2', 'Cloves- 2', 'Fenugreek seeds (methi dana) -¼ tsp', 'Cumin seeds\xa0 ( jeera ) - ¼ tsp', 'Cinnamon-\xa0 ½ inch stick', 'Slit green chillies - 1']"
Bread Dosa,veg,https://www.balancenutrition.in/recipes/recipe-details/bread-dosa,Energy (kcal)- 110,Protein (g) - 2,Carbohydrate (g)- 16.6,Fat (g) - 3.5, Curd is a probiotic which helps improve the gut function by increasing the good bacteria. Whole wheat bread has fiber which helps with digestion. Let the aroma of the tempered dosa tempt you more!,"['Whole wheat bread- 1 slice', 'Rice flour- 1 tsp', 'Besan - 1 tsp', 'Curd [yogurt or dahi]- 1 tsp', 'Salt- a pinch', 'Baking soda- a pinch']"
