Food Item,Type,Link,Energy,Protein,Carbohydrate,Fat,Health Meter,Indgredients
bajra-burfi,veg,https://www.balancenutrition.in/recipes/recipe-details/bajra-burfi,Energy (kcal)- 137,Protein (g) - 5,Carbohydrate (g)- 26,Fat (g) - 3," Bajra burfi is a healthy recipe full of essential compounds like protein, fiber, phosphorus, magnesium and iron and minerals. It is a gluten free recipe. Due to its high fiber content, it gives a feeling of fullness for a long time, it is easily digestible. Milk is a good source of calcium which is important for bones. Sunflower seeds have good quality fat.","['Bajra -20 g', 'Milk -75 ml\xa0', 'Sugar - 1 tsp', 'Nutmeg powder -\xa0 ¼ tsp\xa0', 'Green cardamom powder - ½ tsp\xa0', 'Sunflower seeds - for garnishing\xa0', 'Rose petals -\xa0 for garnishing']"
baked-methi-muthia,veg,https://www.balancenutrition.in/recipes/recipe-details/baked-methi-muthia,Energy (kcal)- 104,Protein (g) - 5.2,Carbohydrate (g)- 20,Fat (g) - 0.5," Fenugreek is rich in fiber and antioxidants, it helps in flushing out harmful toxins from the body and thus, aids digestion. Besan flour has a good amount of protein and also has iron, magnesium and phosphorus.","['Whole wheat flour \xa0- 15g', 'Besan  15g', 'Chopped fenugreek (methi) -15g', 'Ginger-green chilli paste  ¼\xa0 tsp', 'Lemon juice  ½ tsp', 'Turmeric powder  ¼\xa0 tsp', 'Garam masala  ¼ tsp']"
barley-moong-dal-khichdi,veg,https://www.balancenutrition.in/recipes/recipe-details/barley-moong-dal-khichdi,Energy (kcal)- 220,Protein (g) - 4.8,Carbohydrate (g)- 28.6,Fat (g) - 5.8," Barley is a complete healthy package of vitamins, minerals, and antioxidants. Barley claim's to be an excellent source of molybdenum, manganese, dietary fiber, and selenium, and a good source of copper, vitamin B1, chromium, phosphorus, magnesium, and niacin.","['Barley (raw) - 3 tbsp', 'Green moong dal - 1 tbsp (raw) -', 'Cumin seeds - 1/4th tsp', 'Asafoetida, optional - 1/4th tsp (optional)', 'Green chilli, slit 1 (optional)', 'Onion, minced - ½\xa0', 'Tomato, chopped finely - ½\xa0', 'Turmeric powder- 1/4th tsp', 'A squeeze of lemon - optional', 'Oil - 1 tsp']"
barnyard-millet-dhokla,veg,https://www.balancenutrition.in/recipes/recipe-details/barnyard-millet-dhokla,Energy (kcal)- 129,Protein (g) - 3.2,Carbohydrate (g)- 20,Fat (g) - 3.1, Barnyard millet is high in fiber and a good source of zinc and manganese. It is good for diabetes and helps in weight loss. It also has Greek yoghurt which has a high amount of protein and is low in fat.,"['Barnyard millet- 2 tbsp\xa0', 'Greek yoghurt- 1 tbsp', 'Ginger paste- 1/4 tsp', 'Green chillies- as per taste', 'Curry leaves- 6-7\xa0', 'Mustard seeds- 1/4 tsp', 'Coriander- for garnishing\xa0', 'Salt -as per taste\xa0', 'Oil- 1/2 tsp']"
beans-sambhariya-quarantine-sp,veg,https://www.balancenutrition.in/recipes/recipe-details/beans-sambhariya-quarantine-sp,Energy (kcal)- 90,Protein (g) - 4,Carbohydrate (g)- 10,Fat (g) - 2.5," Beans Sambhariya is not just a nutritious recipe but also a wholesome meal by itself. The main ingredient of this recipe french beans contains important amounts of the antioxidant mineral manganese. And chana dal, which is high in protein and fiber and with a low glycemic index, this pulse will keep you full for longer and provide you with stable blood sugar level. Beans sambhariya is surely a perfect meal to provide satiety and aid in weight loss.","['French beans, finely chopped - 75 g', 'Oil - ½ tsp', 'Cumin seeds - ½ tsp', 'Asafoetida a pinch', 'Green chili - 1 no.', 'Curry leaves - 6 nos.', 'Ginger, finely chopped - ¼\xa0 tsp', 'Garlic clove, finely chopped - 1no.', 'Roasted chana dal - 1 tbsp', 'Turmeric powder - a pinch', 'Red chilli powder - ½ tsp', 'Salt- to taste', 'Coriander leaves, finely chopped - 1 tsp']"
besan-oats-pancakes-with-vegetables-quarantine-sp,veg,https://www.balancenutrition.in/recipes/recipe-details/besan-oats-pancakes-with-vegetables-quarantine-sp,Energy (kcal)- 125,Protein (g) - 5.7,Carbohydrate (g)- 24,Fat (g) - 2.4," Eating oats provide an array of health benefits. High in fiber and beta-glucan, oats make the perfect, easy to make breakfast recipe. Low in calories and also wholesome, accompanied with vegetables and gram flour, oats besan pancake add on to one being more healthy. Accompanied with gram flour or besan, makes it a perfect cereal-pulse recipe rich in protein and complex carbohydrates. Besan oats vegetable pancake or chillas ate with coriander chutney or sambhar makes it a perfectly healthy option.","['Bengal gram flour-\xa0 1 tbsp (15 g)', 'Oats flour- 1 tbsp (15 g)', 'Mixed veggies- 1/2 katori', 'Ground carom seeds (ajwain)-\xa0 1/4 tsp', 'Turmeric powder-\xa0 a pinch', 'Green chilli-\xa0 1no. (as per taste)', 'Oil-\xa0 1/2 tsp\xa0', 'Salt- to taste', 'Water for the batter-\xa0 as per consistency']"
besan-pancakes-with-sprouts-quarantine-sp,veg,https://www.balancenutrition.in/recipes/recipe-details/besan-pancakes-with-sprouts-quarantine-sp,Energy (kcal)- 183,Protein (g) - 9.3,Carbohydrate (g)- 28,Fat (g) - 3.2," Apart from proteins, besan is a good source of thiamin and vitamin B - 6 and sprouts are a good source of vitamin C. This dish provides a protein punch from a combo of two protein-rich sources. A low carbohydrate recipe will certainly prove useful in weight loss. Also, it contains vitamins & minerals from the added vegetables in it.","['Bengal gram flour (besan)- 30 gms', 'Bean sprouts- 10 gms (boiled)\xa0', 'Red capsicum- 10 gms', 'Yellow capsicum- 10 gms', 'Green capsicum- 10 gms', 'Tomato- 1/2 small tomato', 'Green chillies - 1 no.', 'Fresh coriander leaves chopped- 1 tbsp', 'Cumin seeds- 1/2 tsp', 'Carom seeds (ajwain)- ¼ tsp', 'Red chilli powder- a pinch\xa0', 'Oil- ½ tsp.\xa0 \xa0', 'Salt - as per taste']"
brown-rice-masala-khichdi,veg,https://www.balancenutrition.in/recipes/recipe-details/brown-rice-masala-khichdi,Energy (kcal)- 160,Protein (g) - 4.4,Carbohydrate (g)- 28,Fat (g) - 5.5," Brown rice khichdi, being a great staple carbohydrate source contains an array of essential nutrients such as B vitamins, phosphorus, selenium, magnesium, etc. Compared to simply white rice, not only is its fiber content high, but also in low in glycemic index, reducing the blood sugar levels to rise. This also contributes to keeping you fuller for longer and less likely to need snacks or overeat. Besides containing just the calorie secrets coming from brown rice, the presence of the two herbs ginger and garlic adds more on the flavor besides its medicinal properties. Also, adding more to its protein content is the split green dal making it a perfect cereal-pulse combination recipe.

","['Brown rice (raw) - 2 tbsp', 'Split green gram with skin (raw) - 1 tbsp', 'Onions - 20g', 'Turmeric powder - 1 tsp', 'Red chilli powder - 1 tsp', 'Cumin seeds - 1 tsp', 'Garam masala powder - 1 tsp', 'Garlic - 2 clove crushed', 'Ginger - 1-inch piece', 'Green chillies - 1\xa0', 'Fresh coriander leaves - to garnish', 'Oil - 1 tsp', 'Salt - to taste']"
brown-rice-pulao-quarantine-sp,veg,https://www.balancenutrition.in/recipes/recipe-details/brown-rice-pulao-quarantine-sp,Energy (kcal)- 161,Protein (g) - 4.4,Carbohydrate (g)- 30,Fat (g) - 3," Brown
rice provides natural wholeness to the grain and is rich in proteins,
thiamine, calcium, magnesium, fiber, and potassium. It is
high in fiber, acts as an anti-oxidant and has a low glycemic index which is
best for diabetes. It is not only healthy but also gives satiety as it contains
lots of vegetables like carrot and french beans etc. It helps in preventing
diabetes, weight loss, heart disease and lowers cholesterol due to its high
fiber content. ","['Brown rice(soaked)- 30g', 'Carrots cut into ½ inch pieces- 1 small(25g)', 'French beans and cut into ½ inch pieces- 5-6 (20g)', 'Cauliflower separated into small florets- ½ \xa0small(25g)', 'Fresh button mushrooms half (optional)-2-3', 'Oil - ½ teaspoon(2g)', 'Green peas- 25g', 'Paneer/ chana - 10g', 'Bay leaf- ½\xa0', 'Cloves-1-2', 'Cumin seeds- 1 tsp', 'Cinnamon- ½ \xa0inch stick', 'Salt- To taste', 'Green chillies slit- 1', 'Fresh coriander leaves finely chopped- ½ tbsp']"
buckwheat-dhokla,veg,https://www.balancenutrition.in/recipes/recipe-details/buckwheat-dhokla,Energy (kcal)- 109,Protein (g) - 3.9,Carbohydrate (g)- 16,Fat (g) - 3.1, Buckwheat is full of nourishment yet is tasty food. Its high fiber content is a boon for weight loss. Curd being a probiotic is also a great substitute for milk and a good source for gut-friendly bacteria thus it improves digestion and boosts immunity.,"['Buckwheat flour -\xa0', 'Low fat sour curds -\xa0', 'Ginger-chilli paste -\xa0', 'Oil -\xa0', 'Chopped coriander -\xa0', 'Salt to taste\xa0']"
bulgur-wheat-chilla,veg,https://www.balancenutrition.in/recipes/recipe-details/bulgur-wheat-chilla,Energy (kcal)- 155,Protein (g) - 3.5,Carbohydrate (g)- 23,Fat (g) - 4.5," Bulgar wheat is an excellent source of fiber. It provides 5 g of fiber per 1/4 cup, which is 20 per cent of the recommended daily value. Bulgar wheat fits well in a low-fat diet. It has no saturated fat, trans fat or cholesterol.","['Bulgar wheat- 1 tbsp\xa0', 'Besan- 1 tbsp', 'Curds- 2 tbsp', 'Mix veggies (e.g. Chopped onion, tomato, grated carrot/bell pepper)- 1/4th cup\xa0', 'Finely chopped green chillies- 1/2 Tsp\xa0', 'Asafoetida (hing)- 1/4th tsp\xa0', 'Salt- as per taste', 'Oil - 1/2 Tsp\xa0', 'Water- as per requirement']"
cabbage-jowar-muthia,veg,https://www.balancenutrition.in/recipes/recipe-details/cabbage-jowar-muthia,Energy (kcal)- 109,Protein (g) - 3.9,Carbohydrate (g)- 16,Fat (g) - 3.1, Jowar is a very good source of protein and also contains good amounts of B-vitamins like thiamin and is rich in dietary fibre. Cabbage is an excellent source of phytonutrients and a very good source of manganese. Yogurt is a high protein food and it also contains good bacteria. Asafoetida also is known as hing is a good source of fibre and has several anti-viral and anti-bacterial properties.,"['For the muthiyas:', 'Jowar flour - 1 tbsp', 'Grated cabbage - 1 tbsp', 'Low-fat curds - 1 tsp', 'Chopped coriander - 1 tbsp', 'Lemon juice - 1/2 tbsp', 'Ginger-green chilli paste - ½  tsp', 'Garlic cloves - 2no.', 'Turmeric powder - ¼  tsp', 'Salt to taste', 'Coriander to garnish - 1 tbsp chopped ', 'For the tempering', 'Cumin seeds - ½ tsp', 'Asafoetida - ¼ tsp', 'Curry leaves - 3 to 4 no.', 'Oil - ½ tsp']"
