Name,Description,Category
Aloo gobi,"Cauliflower with potatoes sautéed with garam masala, turmeric, sometimes kalonji and curry leaves.","Vegetarian
"
Aloo tikki,Patties of potato mixed with some vegetables fried,"Vegetarian
"
Aloo matar,Potatoes and peas in curry,"Vegetarian
"
Aloo methi,Potato with fresh Methi leaves.,"Vegetarian
"
Aloo shimla mirch,"Green capsicum with potatoes sautéed with cumin seeds, onions, tomatoes, ginger-garlic paste, turmeric, red chilli powder and garam masala","Vegetarian
"
Amriti with rabdi,a dessert made by combining amriti with rabdi,"Vegetarian
"
Amritsari fish,"Fried fish made with curry, ginger, and garlic","Non-Vegetarian
"
Amritsari kulcha,mildly leavened flatbread,"Vegetarian
"
Baati,"hard, unleavened bread cooked in most of areas of Rajasthan, and in some parts of Madhya Pradesh, and Gujarat states of India.","Vegetarian
"
Bhatura,a fluffy deep-fried leavened bread originating from the Indian subcontinent.,"Vegetarian
"
Bhindi masala,Okra sautéed with onions and tomatoes,"Vegetarian
"
Biryani,"Mixed rice dish, optional spices, optional vegetables, meats or seafood. Can be served with plain yogurt.","Non-Vegetarian
"
Butter chicken,"dish, originating in the Indian subcontinent, of chicken in a mildly spiced tomato sauce. It is also known as murgh mahal","Non-Vegetarian
"
Chaat,"Street food. Usually containing potato patty fried in oil, topped with sweet yogurt, and other sauces and spices","Vegetarian
"
Chana masala,"Chickpeas of the Chana type in tomato based sauce.
","Vegetarian
"
Chapati,"unleavened flatbread originating from the Indian subcontinent and staple in India, Nepal, Bangladesh, Pakistan, Sri Lanka, East Africa and the Caribbean.","Vegetarian
"
Chicken razala,a Bhopali style chicken cooked in a rich gravy with mint,"Non-Vegetarian
"
Chicken Tikka,Chicken with spices served on a skewer,"Non-Vegetarian
"
Chicken Tikka masala,"Chicken marinated in a Yogurt tomato sauce. It is known to have a creamy texture.
","Non-Vegetarian
"
Chole bhature,"Main course with Chick peas, assorted spices, wheat flour and bhatura yeast.","Vegetarian
"
Daal baati churma,a Rajasthani specialty,"Vegetarian
"
Daal puri,Stuffed dal in parathas,"Vegetarian
"
Dal makhani (kali dal),a main course with lentils,"Vegetarian
"
Dal fara,,"Vegetarian
"
Dal,"Assorted types of lentils, such as toor, urad, chana, masoor dal","Vegetarian
"
Dal fry with tadka,Typical north Indian tadka,"Vegetarian
"
Dum aloo,Potatoes cooked in curry,"Vegetarian
"
Poha,"Specialty from Madhya Pradesh. Common snack in central part of India. Flattended rice, potato, turmeric.","Vegetarian
"
Fara,Stuffed Lentil Dumplings,"Vegetarian
"
Firni,This is a dessert made of fine flour and ghee that is made only in Pundri.,"Vegetarian
"
French bean aloo,"Diced French beans with potatoes cooked with chopped onions, tomatoes sautéed with cumin seeds, green chillies and garam masala","Vegetarian
"
Gajar ka halwa,"sweet dish native to U.P. / Punjab. Carrot, Milk, Ghee, Cashew.","Vegetarian
"
Gajar matar aloo,"Diced red/orange carrots and potatoes sautéed with black mustard leaves, garnished with ground black pepper powder and lemon juice","Vegetarian
"
Gobhi matar,Cauliflower in a tomato sauce,"Vegetarian
"
Imarti,spherically meshed sweet dish from North India made up of batter from moong dal dipped in sugary syrup,"Vegetarian
"
Hari mutter ka nimona (green peas daal),a Typical north Indian tadka,"Vegetarian
"
Jalebi,A North Indian twisted noodle like sweet dish dipped in sugary syrup,"Vegetarian
"
Jaleba,A bigger form of jalebi,"Vegetarian
"
Kachori,Rajasthani / Marwari special,"Vegetarian
"
Kadai paneer,Paneer and green peppers in tomato gravy,"Vegetarian
"
Kadhi pakoda,Gram flour with yogurt with gramflour fried balls,"Vegetarian
"
Karela bharta,a bitter gourd or melon dish,"Usually vegetarian
"
Katha meetha petha / halwakadoo,Pumpkin cooked in spices,"Vegetarian
"
Kheer,Rice cooked with milk and dry fruits,"Vegetarian
"
Khichdi,Rice cooked with daal and veggies and sauteed,"Vegetarian
"
Kofta,"Gram flour balls fried with vegetables. Gram flour, veggies, rolled into balls with gram flour and fried in oil and then cooked with curry.","Vegetarian
"
Kulfi falooda,dessert to ward off sweltering heat of summers,"Vegetarian
"
Lauki ke kofte,a way to serve bottle gourd,"Vegetarian
"
Lauki ki subji,a way to serve bottle gourd,"Vegetarian
"
Litti chokha,a baked salted wheat flour cake filled with sattu (baked chickpea flour) and some special spices,"Vegetarian
"
"Makki di roti, sarson da saag","Creamed sarson mustard leaves, with heavily buttered roti made from corn flour.  Punjabi winter favorite.","Vegetarian
"
Mathura ke pede,a sort of a confection,"Vegetarian
"
"Methi saag, chaulai saab",Veggie leaves sauteed in oil and garlic with little masalas. Cooked mostly in central part of India.,"Vegetarian
"
Misi roti,"Whole wheat & gram flour dough ground masalas, pan fried","Vegetarian
"
Mixed vegetable,"mixed vegetables, slow cooked with a tomato sauce added.","Vegetarian
"
Moong dal ka halwa,"a dish made with yellow lentils, milk, sugar, and nuts","Vegetarian Dessert
"
Murgh musallam,,"Non-Vegetarian
"
Mushroom do pyaza,Mushrooms & Onions in a tomato masala sauce spiced with chilles,"Vegetarian
"
Mushroom matar,Mushrooms and sweet peas in a masala or chili sauce,"Vegetarian
"
Naan,Tandoor-baked soft flatbread made with refined wheat flour.,"Vegetarian
"
Navrattan korma,"Vegetables, Nuts, Paneer Cheese in a tomato cream sauce","
"
Pakhala,Cooked rice with water,"Vegetarian
"
Palak paneer,Paneer cubes in spinach gravy,"Vegetarian
"
Paneer butter masala,Paneer made with Indian Cheese. Paneer is substituted for meat in Vegetarian dishes,"Vegetarian
"
Paneer tikka masala,vegetarian alternative to chicken tikka masala,"Vegetarian
"
Pani puri,a typical Indian tadka,"Vegetarian
"
Panjeeri,"a mixture of butter, dried fruits and whole wheat flour served as a dessert.
","Vegetarian
"
Papad,"A crispy add on to Lunch and Dinner, for adding a spicy and crunchier taste to food.
","Vegetarian
"
Paratha,"flatbread native to the Indian subcontinent, prevalent throughout the modern-day nations of India, Sri Lanka, Pakistan, Nepal, Bangladesh, Maldives, and Myanmar, where wheat is the traditional staple","Vegetarian
"
Pattor,A flour based snack,"Vegetarian
"
Phirni,"a rice Pudding
","Vegetarian
"
Pindi chana,"a chickpea dish
","Vegetarian
"
Pinni,"An almond based dessert
","Vegetarian
"
Rajma chaval,a bean curry with rice,"Vegetarian
"
Rajma,Main. Kidney beans & assorted spices.,"Vegetarian
"
Ramatori subji,"a spicy side dish made with any two vegetables i.e. potatoes and cabbage
","Vegetarian
"
Rongi,"Black eyes peas, onions and tomatoes in a curry sauce
","Vegetarian
"
Samosa,"Normally served as an entree or appetiser. Potatoes, onions, peas, coriander, and lentils, may be served with a mint or tamarind sauce","Vegetarian/meat varieties
"
Samose,a typical north Indian tadka,"Vegetarian
"
Sattu ki roti,a dish from Bihar,"Vegetarian
"
Shahi paneer,"A popular Indian, as well as Punjabi and Nepalese dish, made with paneer in a thick cream and tomato gravy and spices","Vegetarian
"
Shahi tukra,"a bread pudding in a rich sauce of thickened milk, garnished with sliced almonds","Vegetarian
"
Singhada halwa,Lotus fruit dried and powdered to make this fasting sweet meat,"Vegetarian
"
Sooji halwa,"Semolina cooked with clarified butter and dry fruits. Semolina (Suji), clarified butter, cashew nuts.","Vegetarian
"
Sweet pethas / kesar petha / pista petha,"A ravioli like dessert stuffed with a choice of fillings and equally popular in various parts of India and Pakistan
","Vegetarian
"
Vegetable jalfrezi,"Meat and spices fried in a pan. Can be vegetarian as well.
","Vegetarian
"
Tandoori Chicken,"Tandoori chicken as a dish originated in the Punjab before the independence of India and Pakistan.
","Non-Vegetarian
"
"Tandoori Fish Tikka
","Fish marinated in lime and ginger and cooked over an open fire.
","
"
